"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000242894",34.3342812144863,-3.54603069186907,0.525690717625128,2.31156953215297e-13,8.2222528258681e-10
"ENSG00000244642",16.7287925959682,-4.50895763612884,0.69454511915753,6.19323388545593e-13,1.10146664652834e-09
"ENSG00000202347",8.81859241586605,-3.40806764332899,0.651630713570456,6.053639144221e-09,7.17759814533136e-06
"ENSG00000238793",56.9411028792963,2.42960354195795,0.58558245022194,4.85072343333334e-07,0.000345080465047334
"ENSG00000240106",6.49395568083261,-3.2291007033285,0.73334102225974,4.81430272431648e-07,0.000345080465047334
"ENSG00000238531",1182.1957166422,2.32975034938636,0.542318154491967,6.43013259412788e-07,0.000381199693955215
"ENSG00000202198",78.5351434104193,2.35555365812589,0.593982247266149,1.31760909811634e-06,0.00066953365171426
"ENSG00000207175",24.6966613798896,-1.63077111183942,0.408161415375514,1.98099922650294e-06,0.000880801781083868
"ENSG00000222076",19.1682437305441,-1.87049321164612,0.491276816348776,2.41355413134408e-06,0.000953890227243433
"ENSG00000243700",4.79555487503315,-2.95006618763147,0.74608661683785,4.03419349990721e-06,0.001434962627917
"ENSG00000234741",123538.536124615,1.89310832918338,0.513851586241187,1.21386779861141e-05,0.00392520705423708
"ENSG00000176986",13.1965544197485,1.77239711324645,0.503935022872997,1.71018601117527e-05,0.00506927636812537
"ENSG00000202400",1658.09441295827,1.8314956063928,0.55092738385185,3.17624431202922e-05,0.00869069309068304
"ENSG00000242360",4.04654309198769,-2.82698627723702,0.838819883113638,3.65491213561716e-05,0.00900084163047205
"ENSG00000233998",5.11845487037806,2.54966352332701,0.752121956895049,3.79568806457916e-05,0.00900084163047205
"ENSG00000240474",5.08219919484869,-2.25004047492629,0.673744856483311,4.09992519818325e-05,0.00911464620621115
"ENSG00000222345",1145.19498741416,1.90876335625602,0.611181659121906,5.73846368491437e-05,0.0120068913689649
"ENSG00000207047",475.272524632289,1.22505628989013,0.397735109767961,8.20460796239412e-05,0.0162132169567977
"ENSG00000147955",7.0443511414331,-1.81006635889219,0.605025954741136,9.0865943998186e-05,0.0170110612000815
"ENSG00000276584",10.153929595324,-1.63529203191152,0.552198891597691,9.6374432838017e-05,0.0171401928802413
"ENSG00000221539",1049.36835763024,1.18171325062719,0.396635450096939,0.000108696322036428,0.0175742189765261
"ENSG00000222650",8.20445649217333,-1.66257181039281,0.577102795785535,0.000103913972364917,0.0175742189765261
"ENSG00000261441",52.7960782073218,1.26172111586652,0.435364580471789,0.000121092525508179,0.0183875870601108
"ENSG00000222937",113.843184814036,1.30525685964899,0.445236800759919,0.000124065810920061,0.0183875870601108
"ENSG00000222489",71.6458391574451,1.54223491414538,0.544836242116502,0.000146605910769975,0.0186241865931714
"ENSG00000200488",3.41999121868083,-3.07878561979727,1.0403635628143,0.000132024580228344,0.0186241865931714
"ENSG00000210077",16.9026203387945,2.39214197644336,0.857575641601779,0.000144434726508235,0.0186241865931714
"ENSG00000210112",15.6556225233608,2.26327039200894,0.806259478592192,0.000145880287834903,0.0186241865931714
"ENSG00000202031",3474.01038483225,1.71728862106999,0.638559666851897,0.000176624272323317,0.0196328917704387
"ENSG00000222355",19.0835074787618,-0.134902834961105,0.26048189237323,0.00016781919888403,0.0196328917704387
"ENSG00000252316",38.970448961157,2.59258995464482,1.00545044367153,0.000169710302993798,0.0196328917704387
"ENSG00000160959",4.80430774281285,1.99779714930324,0.684432295308682,0.00017357923342076,0.0196328917704387
"ENSG00000255717",4059.26318246128,1.34299783615583,0.482238886891933,0.000188530881757293,0.0198252270923253
"ENSG00000202314",479.725380372931,1.66503327120587,0.610605161868798,0.00019608406410006,0.0198252270923253
"ENSG00000140740",3.42193493484182,2.35372466212664,0.785013405586512,0.000200648910689826,0.0198252270923253
"ENSG00000209702",1135.57861273005,1.1933981633152,0.425540527260806,0.000190264603282438,0.0198252270923253
"ENSG00000207031",1940.25768954314,1.36272406412419,0.495486775901809,0.000213012264408721,0.0204779628243735
"ENSG00000221500",1078.34590711109,1.44153869086064,0.544337915418324,0.000218778576260857,0.0204788262042071
"ENSG00000251862",14.1929043948109,-1.24879191332405,0.498813718034936,0.000316136929037015,0.0277166705132579
"ENSG00000252695",9.06748296800578,-1.35696445124637,0.542413372633699,0.000319478068890518,0.0277166705132579
"ENSG00000252635",4.290700221318,-1.91987643945556,0.713012504725293,0.000315823104026015,0.0277166705132579
"ENSG00000207349",2.93363232615244,-2.5730496641195,0.960511946434116,0.000339252562052493,0.0286320502326937
"ENSG00000117143",4.3128852412784,-1.88056795995393,0.704076064364957,0.00034612824290296,0.0286320502326937
"ENSG00000201772",58.6810506612109,1.16985979303643,0.461857111800455,0.00036425630119129,0.0294468105303959
"ENSG00000258947",19.0112549437358,2.31178339289822,1.20474049618175,0.000537890966309445,0.0415930036339717
"ENSG00000210082",4199.48227812823,1.1716741146332,0.505982184598033,0.000533406322770779,0.0415930036339717
"ENSG00000199568",39.109108820966,1.17111542359791,0.491521449161487,0.000561058586383865,0.0424613913142002
