"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000131747",54.5455741809628,3.4443754043312,0.359051664194889,9.59297991851567,8.55769760023739e-22,4.81798374893365e-18
"ENSG00000244642",16.7287925959682,-4.07060411130065,0.583242389039917,-6.97926657560216,2.96724987176732e-12,8.35280838902499e-09
"ENSG00000141736",2065.2582765792,3.08572042050057,0.457413990393859,6.74601233303685,1.51963708246488e-11,2.85185225809243e-08
"ENSG00000117724",8.04910332169545,3.61527678322703,0.610561475280081,5.9212330446637,3.19536671380002e-09,4.49747864967353e-06
"ENSG00000169429",12.3867945560672,-2.93787559795754,0.533417000066916,-5.50765273245696,3.63649868555598e-08,4.09469751993603e-05
"ENSG00000131711",13.3865633609672,-2.1551456232206,0.402568977239972,-5.35348162691611,8.627779943993e-08,8.09573351411343e-05
"ENSG00000206885",25.3205586092584,-2.25455874168287,0.425060893364043,-5.30408413683908,1.1324007813888e-07,9.1077377131699e-05
"ENSG00000207280",1637.44682441538,-1.8473047711877,0.351578461095458,-5.25431724523685,1.48574591577215e-07,0.000104559368822465
"ENSG00000207263",67.5647958508477,4.65844459131549,0.89732640551144,5.19147164588382,2.08638364219122e-07,0.000120783499707374
"ENSG00000212283",160.297909977464,-1.56472799712244,0.301705234532275,-5.18628057464166,2.14535523458923e-07,0.000120783499707374
"ENSG00000127184",75.8905410417243,-1.89959680639582,0.375483792232464,-5.05906472048139,4.21317859571069e-07,0.000215638140853193
"ENSG00000212135",56.6961780190653,-1.79836569777452,0.360639547920199,-4.9866014643864,6.1450641015205e-07,0.000288305924096337
"ENSG00000143226",117.770934115948,1.84990062746568,0.382499665485765,4.83634573932595,1.32247816127997e-06,0.000572734772923557
"ENSG00000272460",13.991690622804,5.90219506417444,1.24518031967665,4.74003240406748,2.13684042306773e-06,0.00085931511299081
"ENSG00000278828",5.36380701496896,3.18681154764164,0.681303146641712,4.67752360069098,2.90360164424139e-06,0.00108981848380527
"ENSG00000201143",20.4608219937726,5.61783199231461,1.20792891424071,4.65079685243393,3.30654918726084e-06,0.00109505128966344
"ENSG00000137807",2.18523701405542,4.70930955522235,1.01209817023281,4.65301656867839,3.27113952278233e-06,0.00109505128966344
"ENSG00000167325",7.16331204189594,2.44934827403172,0.53384846273772,4.5880965198828,4.4730583120015e-06,0.00132543780508255
"ENSG00000113810",8.1759899219989,2.32872051775633,0.507103408452177,4.59220048404772,4.38596718297833e-06,0.00132543780508255
"ENSG00000266239",25.5692625275494,-2.27744947436738,0.498885159775945,-4.56507761303265,4.99309576228687e-06,0.00133862519722262
"ENSG00000207279",28.4731894890046,4.13009142012855,0.903664616109118,4.57038080998607,4.86838748286632e-06,0.00133862519722262
"ENSG00000138606",13.6912817906842,1.91974426259692,0.423018443688406,4.53820463679593,5.67351907545894e-06,0.00140838673947714
"ENSG00000274713",24.4050635558496,2.02986163631876,0.448509511555025,4.52579395536348,6.01691816416991e-06,0.00140838673947714
"ENSG00000088325",7.52492918008227,2.1755137103186,0.481380916437446,4.51931856048411,6.20389883190963e-06,0.00140838673947714
"ENSG00000201014",2.2244541118678,4.65134441532875,1.02960124243922,4.5176173295103,6.25393756428571e-06,0.00140838673947714
"ENSG00000260660",2.23714071239209,-4.60094294697386,1.02086739611751,-4.50689576772834,6.5782927561382e-06,0.00142445339296377
"ENSG00000266618",9.79975201626596,-2.4398020113875,0.544871144545631,-4.4777596241072,7.54304654954697e-06,0.00157286489162776
"ENSG00000239748",5.47910306266274,-2.69380700633299,0.604073924620498,-4.459399580979,8.21895693804661e-06,0.00165259741290009
"ENSG00000265641",4.31070279161721,-3.15682369427173,0.710615392971722,-4.4423801193923,8.89692045630158e-06,0.00172722972996475
"ENSG00000175216",8.80706810085066,1.93003744178502,0.435510353763892,4.43166832913316,9.3506773554854e-06,0.00175481045037943
"ENSG00000199961",305.965039432458,-1.6406106242412,0.374704230586394,-4.37841500127641,1.19545547725596e-05,0.00217110139901646
"ENSG00000221514",283.13470316915,-1.73176369343907,0.398784203842539,-4.34260855057052,1.40800877758906e-05,0.00247721544307075
"ENSG00000197081",28.8053576125477,-1.54651003311343,0.359817254225144,-4.298043006425,1.72312735007784e-05,0.0029397596911934
"ENSG00000240106",6.49395568083261,-2.68090959867389,0.624778264938654,-4.29097769420183,1.77888184456387e-05,0.00294561905438077
"ENSG00000199712",2.83133679894804,4.38619437129858,1.03664379805543,4.23114900173651,2.32500585953431e-05,0.00373993799690805
"ENSG00000208028",6.33629725633448,-2.21707837282259,0.524902351168666,-4.22379204034119,2.40225730685e-05,0.00375686351043486
"ENSG00000103811",25.1157395989396,-1.76690529033379,0.42070612152346,-4.19985638415595,2.67084334557049e-05,0.00395706527251628
"ENSG00000167291",8.24011525203884,-1.98145279329389,0.471562535257866,-4.2018876504054,2.64698501400274e-05,0.00395706527251628
"ENSG00000112312",2.68759607478992,4.00552957633229,0.961764800595838,4.16477040317005,3.11666045965965e-05,0.00449917907381637
"ENSG00000255642",13.3998410152034,-1.86708017145589,0.456513439614468,-4.08986901466178,4.31616868086174e-05,0.0060750074183129
"ENSG00000113240",4.25878190954338,-3.00447805012565,0.742352378806108,-4.04723974207184,5.18251539762925e-05,0.007116478460647
"ENSG00000240474",5.08219919484869,-2.47805218006705,0.613916743778268,-4.03646293276872,5.42630943226297e-05,0.00727383859610488
"ENSG00000161011",19.5182939640407,-1.4775059800247,0.367101926293963,-4.02478405640827,5.70276210716639e-05,0.00746663968915041
"ENSG00000207964",18.1873996710858,-1.80510870380874,0.452881261674629,-3.98583217405363,6.7244030425005e-05,0.00860417934756314
"ENSG00000197746",73.6348564676889,-1.09862221910161,0.276802583215101,-3.96897386701006,7.21827966628255e-05,0.0090308698935935
"ENSG00000011426",6.68820535588613,2.05630206755115,0.518881903721087,3.96294812519897,7.40298720051344e-05,0.00906061259541101
"ENSG00000207063",67.4430154172277,3.7697101377611,0.955636116144948,3.94471292375195,7.98956352938695e-05,0.00957047716392522
"ENSG00000066279",4.26434526832031,2.75477642541455,0.703002508627454,3.91858690631559,8.90696150766977e-05,0.0100292386576362
"ENSG00000207001",90.1437609422546,4.18132355647683,1.06455796239104,3.92775565464318,8.57422568390253e-05,0.0100292386576362
"ENSG00000207703",17.0705580815662,-1.82308772599858,0.465062825217589,-3.92008913020647,8.85162256787982e-05,0.0100292386576362
"ENSG00000106100",2.13268452371786,4.015452536332,1.02867011103375,3.90353767768824,9.47967846421715e-05,0.0104648215203025
"ENSG00000223131",2.7459050696393,3.82554627786669,0.991533510914005,3.85821178584299,0.000114219655058802,0.0121331444902086
"ENSG00000242894",34.3342812144863,-1.87732435611786,0.486291479080326,-3.86049198243871,0.000113158953943448,0.0121331444902086
"ENSG00000212158",5945.9047612748,-1.4252238704303,0.37059793595677,-3.84574152241514,0.000120188410265984,0.0125307546258794
"ENSG00000112096",11.6054268790544,-1.55591982751155,0.412803779861173,-3.76915111590017,0.000163803696849569,0.0166801028645235
"ENSG00000122641",6.14174248648742,-2.14326529122174,0.569115679345507,-3.76595720168267,0.000165912213217285,0.0166801028645235
